Genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
"Gene1085",63.3889829054176,-2.20333168603979,0.532221467872428,-4.13987751160749,3.47E-05,0.002151682016228
"Gene1096",12.6979382822399,2.0366996688416,0.635861283636569,3.20305658050678,0.001359772627603,0.017888755256644
"Gene1103",331.299163026679,-1.21526379112413,0.449653769001749,-2.70266563943648,0.006878590210959,0.047205841384783
"Gene1106",210.192043702164,1.76139159375371,0.624243437654955,2.82164214712547,0.004777845820274,0.038117835834073
"Gene1113",13.4836199606273,-2.48543455889626,0.772399743490155,-3.2178086280371,0.001291739724952,0.017209510418741
"Gene1123",98.9989990188728,-1.90506254488445,0.588484484087386,-3.23723495928495,0.001206939944387,0.016482746258056
"Gene1126",10.1540880557477,3.08052390269685,0.746422061133445,4.12705366454343,3.67E-05,0.002175618587854
"Gene1151",52.6563626953192,1.4793100759864,0.540784493649196,2.73548907810589,0.006228765332257,0.044954360656249
"Gene1156",7.27589088291687,-3.36919677761734,0.865389881724437,-3.893270361451,9.89E-05,0.003592773544753
"Gene1159",34.7636048020939,2.3094334306522,0.728491280747511,3.17015933022901,0.001523553700655,0.01917939310411
"Gene1161",11.5758719316945,2.21340081128004,0.599948515649656,3.68931792236081,0.000224856087238,0.005779437827174
"Gene1166",43.6297745495441,1.28211583825453,0.457330080701755,2.80348022655141,0.005055433212846,0.039693163655331
"Gene1183",155.121846119159,-1.20115554557239,0.440927001671209,-2.72415964778693,0.006446533642084,0.045619690669761
"Gene1187",33.1501082967683,-1.95238640504566,0.577807810657425,-3.37895467841505,0.000727620022923,0.012082714224083
"Gene1197",11.9821204021152,-2.52598903815022,0.804446086112524,-3.14003521399057,0.001689275276642,0.020275024190355
"Gene1209",2.51389176098668,3.39575311189695,1.12796475868886,3.01051348079718,0.002608063704171,0.026415128483325
"Gene1211",115.084309213599,-2.32879194357678,0.666061727690229,-3.49636054251694,0.000471650956751,0.00908136418139
"Gene1216",29.3442433034146,1.45997279117036,0.484010820651931,3.01640527210502,0.002557911273259,0.026150203617239
"Gene1222",3.95871545945523,2.99485224510969,0.965984644017462,3.10031040726932,0.001933179313168,0.022212991677506
"Gene1241",496.373167232486,-1.77170601898096,0.615368375633504,-2.87909825908267,0.003988140556834,0.03422264235305
"Gene1262",5.43845761556583,4.50974287281834,0.991596725957209,4.54796063234779,5.42E-06,0.000758399715904
"Gene1264",24.6453833458306,1.8501071619971,0.567481416850105,3.26020748356204,0.001113307390869,0.015653938052509
"Gene1291",11.7967676468547,1.75517543142197,0.616398386911262,2.84746921583791,0.004406835607465,0.036062878543676
"Gene1297",3.34624412703789,-4.27898751323486,1.22615628384746,-3.48975703146759,0.000483459885494,0.009230881380403
"Gene1317",106.057083108776,1.74560191754149,0.602324141480393,2.8981104978644,0.003754182975827,0.032869092855253
"Gene1320",12.6557598094091,1.85893665631389,0.634247127064054,2.93093429515236,0.003379442507333,0.031105713213612
"Gene1328",2.79680912401193,-3.31643918126751,1.06617571802146,-3.11059342771561,0.001867118202161,0.021739160434988
"Gene1339",2.61648158215612,3.36999684922305,1.03900438766606,3.2434866389671,0.001180763484763,0.016260497110038
"Gene1342",294.181271761403,-2.40186104281232,0.582547848021301,-4.12302792117514,3.74E-05,0.002175618587854
"Gene1350",12.8677338317467,1.53279724466691,0.558778617342669,2.74312079434302,0.006085829372572,0.044274611817281
"Gene1353",19.4155739371424,2.50974434352639,0.709127242308575,3.53920170286489,0.000401339069405,0.008190623929551
"Gene1374",51.8970086951449,1.66338854107267,0.549876433234521,3.02502242419842,0.002486146937657,0.025625378141084
"Gene1377",88.8852972364145,-1.73066171967742,0.533965672729361,-3.24114790157044,0.001190493998202,0.016340054902273
"Gene1378",70.4828203360611,-1.33206800690857,0.488342513647777,-2.72773303507493,0.006377119572013,0.045395465173421
"Gene1391",14.2485946871361,1.79485049240262,0.613227101883223,2.92689362047214,0.003423659637481,0.031248779505251
"Gene1392",16.1979735119248,-2.31208317995011,0.614536865930945,-3.76231810999264,0.000168345734173,0.00490543264977
"Gene1412",52.5802893905884,1.86908279531455,0.599864560154824,3.11584134063887,0.001834209302773,0.021540100195716
"Gene1417",45.3456883255461,1.79056644927421,0.630254070215128,2.84102322205238,0.0044969037698,0.036518075471889
"Gene1419",7.9232093667249,2.6857443367895,0.683557792792191,3.92906695689738,8.53E-05,0.003249436647675
"Gene1421",47.1728831465292,-1.7777035384655,0.641048556708248,-2.77311838528102,0.005552191816967,0.041844942200077
"Gene1433",20.9203551385583,-1.61864336297101,0.52143315275297,-3.10422027142919,0.001907812368554,0.022024723720876
"Gene1442",154.610028173751,-1.32383894731319,0.48633410712659,-2.72207712334805,0.006487300076016,0.045693227602648
"Gene1477",2.97341865502759,2.60649909483734,0.914498631954566,2.85019463535604,0.00436924828495,0.035909553400743
"Gene1491",17.1260616706352,1.93594280187222,0.554841214041573,3.48918348687623,0.000484498453807,0.009230881380403
"Gene1508",2.76909613561469,3.50215757528237,1.14548280159868,3.05736373378511,0.002232931399546,0.023810652047211
"Gene1514",8.06243579799131,1.99957023349916,0.648082999027436,3.08536134492013,0.002033049916658,0.022653731080758
"Gene1517",52.0799380700942,2.83343908338016,0.609576391436002,4.64821000810959,3.35E-06,0.00056069199199
"Gene1526",387.89331814673,1.59350447270716,0.477323557725382,3.33841572852759,0.000842575837609,0.013117702111803
"Gene1532",116.409372877846,-2.25508473454473,0.633824643412346,-3.55790005640037,0.000373831489702,0.007895379020876
"Gene1534",160.837433208396,-2.02451911361416,0.685200295077416,-2.95463841472138,0.003130356975578,0.029716576933666
"Gene1540",9.72454207265365,1.74444082678261,0.588478286018075,2.96432488373756,0.003033478398982,0.028948202795187
"Gene1552",44.0220552349473,-1.41848348274566,0.522878215399025,-2.71283721710068,0.006670986785644,0.046545966365374
"Gene1556",104.532870596835,1.77084958054863,0.603584126030001,2.93389024690919,0.00334742552334,0.030967948517282
"Gene1568",152.447984410161,-1.19948185430888,0.406620904023229,-2.94987749631376,0.003178999507365,0.030021435555684
"Gene1569",164.585287126004,-2.75651994255855,0.643451493165421,-4.28395919791563,1.84E-05,0.001431732920413
"Gene1572",2.54179583730479,4.050603884871,1.22665841065057,3.3021449571464,0.000959484709071,0.014130357242514
"Gene1576",8.19480075864419,2.60695027819045,0.684587184708394,3.80806175812494,0.000140060297963,0.004515908660368
"Gene1584",2.79046435825102,2.70423593295003,0.989063491447886,2.73413785498372,0.006254385305947,0.045020007307932
"Gene1585",34.5231849012964,-2.17581851917551,0.567685518231512,-3.83278848816463,0.000126698883542,0.004184134644958
"Gene1600",14.5969182401838,2.75087544643817,0.635736769688828,4.32706676347292,1.51E-05,0.001334039459904
"Gene1602",8.22228353597123,-2.02026402201072,0.733090252916009,-2.75581896495654,0.005854539074448,0.043344270946557
"Gene1603",15.0332442641009,2.2408739504364,0.719907213637852,3.11272606800641,0.001853679844044,0.021639417685266
"Gene1608",120.952789715389,-1.84763054164363,0.422825329482434,-4.36972530454891,1.24E-05,0.001255317693954
"Gene1612",11.8721992469041,2.16177142448222,0.609293491717845,3.54799690767631,0.000388172778774,0.008042277369974
"Gene1615",173.060002648333,-2.87271528059238,0.589632349552565,-4.87204489843935,1.10E-06,0.000300918463399
"Gene1619",4.32350234754585,-3.03857776157566,1.06422478161286,-2.85520297410347,0.004300933212388,0.035670905744752
"Gene1628",24.8884833006278,-1.73547217219027,0.60241720126318,-2.88084763939549,0.003966073091201,0.034119066566186
"Gene1632",8.13050462922933,3.04455574693062,0.812354053735538,3.74781874101631,0.000178379082406,0.005054691179898
"Gene1637",51.3463716605211,-1.64394402362945,0.534013173098075,-3.078470918783,0.002080658361002,0.022795716298985
"Gene1643",24.2627791563097,-1.8000864981001,0.595104189864567,-3.02482578472479,0.002487763816596,0.025625378141084
"Gene1644",7.35886369040884,2.96672351392493,0.848127557703477,3.4979685390227,0.000468816432185,0.00908136418139
"Gene1647",56.7348118717929,-1.67365967786022,0.549748328613937,-3.04441067075177,0.002331366547249,0.024573938102269
"Gene1650",79.6166071629918,-1.5315474077241,0.539195684037212,-2.84042964931893,0.004505280898064,0.03653166013921
"Gene1651",9.82378876295287,-2.22824896494582,0.725214346821518,-3.07253844978637,0.002122464879911,0.023046553723368
"Gene1653",13.4586796128489,-1.86288516312791,0.594491290225903,-3.13357856331254,0.001726886829678,0.020590385853203
"Gene1664",201.108809149343,1.62611495801111,0.570096091167282,2.85235240726105,0.004339695998199,0.035785526052793
"Gene1666",4.33096750364767,2.09309564593491,0.714583001402227,2.92911480097851,0.003399288489611,0.031130626856955
"Gene1672",25.840500804566,-1.78699899551723,0.564797330985709,-3.16396501449197,0.001556355029115,0.019500550697682
